Date,open,high,low,Close,adjusted_close,volume
24-11-2016,1077.45,1103.8,1068.5,1094.22,1032.1134,3026234
23-11-2016,1074.5,1081.47,1063.6,1078.1801,1016.984,1275808
22-11-2016,1066,1088.72,1061.03,1067.5,1006.9103,1318860
21-11-2016,1063.1,1070,1052.5,1066.45,1005.9196,1793366
18-11-2016,1071,1075,1052.1,1062.55,1002.2412,2140534
17-11-2016,1092.5,1104.3,1065.0699,1068.6,1007.9478,2504688
16-11-2016,1072.55,1104.45,1069,1094.8,1032.6606,4019958
15-11-2016,1058.45,1078.78,1025.95,1060.65,1000.4489,6290324
11-11-2016,1073.53,1073.53,1043.1,1050.5699,990.941,2398424
10-11-2016,1102.4,1108.75,1070.4,1077.72,1016.5501,2172426
09-11-2016,1090,1137.5,1071.4301,1084.9301,1023.3508,4500226
08-11-2016,1140.22,1153.5,1130,1141.6,1076.8041,1933634
07-11-2016,1168.95,1172.45,1130.03,1138.53,1073.9084,2048052
04-11-2016,1160,1168.0699,1147,1165.28,1099.1404,1183752
03-11-2016,1147,1167.5,1142.25,1159.72,1093.8959,1463310
